As a Compass user I want the buttons to update when an import completes So that I don't accidentally import duplicate data into my collection,COMPASS-3949,
As a Compass user I want the documents view to refresh when an import completes So that I can immediately interact with the new data imported into my collection and I am reassured that the import actually happened,COMPASS-3948,
As a Compass user I want to specify types for the fields I want to import from CSV So that I can control the schema of data I want to have in my collection,COMPASS-3947,
As a Compass user I want to select the fields that will be written into the exported JSON or CSV file So that I only export what is needed and I can keep the file small,COMPASS-3851,
As a Compass user I want to contextual entry points to import export So that I can find and access the functionality where I needed,COMPASS-3830,
As a Compass user I want to import documents from a JSON file So that I can quickly seed my collection with existing data,COMPASS-3829,
As a Compass user I want to export documents as a JSON So that I use my data with other tools,COMPASS-3828,
As a Compass user I want to import documents from a CSV file So that I can quickly seed my collection with existing data that may come from non MongoDB tools,COMPASS-3827,
As a Compass user I want to specify the fields I want to import from CSV So that I can control what data I want to have in my collection and specify the schema,COMPASS-3826,
As a Compass user I want to export documents to a CSV file So that I can use them with tools outside the MongoDB ecosystem,COMPASS-3825,
As a Compass user I want to create multiple documents in extend JSON So that I can easily copy paste from my code editor or from an API response,COMPASS-3719,
As a Compass user I want to create a new document in extend JSON So that I can easily copy paste from my code editor or from an API response,COMPASS-3718,
As a Compass user I want to see and edit documents in extended JSON So that I have a way to work in an environment that is similar to my code editor where I feel productive,COMPASS-3717,
As a Compass user I want to know what fields are encrypted with FLE So that I understand why I can't see the content of the field and I know I should not attempt to modify the content of the field,COMPASS-3645,
"As a Compass user I want to duplicate an existing View So that I don't need to start from scratch when I want to create a new, similar one",COMPASS-3526,
As a Compass user I want to edit a View as in edit the aggregation pipeline behind the View So that I can go and adjust the details if the documents I am seeing are not in the shape I expected them to be,COMPASS-3525,
As a Compass user I want to see the details of a View when I select it So that I can easily understand that it is a View and I can see what collection it is based on see the documents that are in the View and run queries and aggregations on top of it,COMPASS-3524,
As a Compass user I want to create a View from an aggregation pipeline So that I can make sure my data is in the right shape to be used in my application or to create a chart from it.,COMPASS-3523,
As a Compass user I want to see my entire pipeline at once So that I can quickly see what it is doing.,COMPASS-3296,
"As a Compass user I want more real estate for my stage editor So that I can see everything I type into the editor without a lot of scrolling, even when my stage contains a lot of code.",COMPASS-3295,
As a Compass user I want to access examples for each stage So that I can immediately understand how to use the stage and its parameters.,COMPASS-3293,
As a Compass user I want a quick and discoverable access to export to language So that I can easily find it and I can take advantage of it to speed up my application development.,COMPASS-3292,
"As a Compass user I want to set sample size, number of docs in preview and maxTimeMS So that I have better control over how Compass is executing and displaying my pipeline.",COMPASS-3291,
As a Compass user I want to understand what the different UI controls do So that I know what is going to happen when I click on them.,COMPASS-3290,
"As a Compass user I want to be able to open collections in different tabs So that I have a quick way to switch from one collection from another, from one task to another",COMPASS-3289,
As a Compass user I want to be able to clone favorite connections So that I quickly create favorites for all my different environments.,COMPASS-3282,
As a Compass user I want information on how to connect to Atlas AWS GCP Azure So that if I have difficulties with connecting to my database I can do a Google MongoDB Documentation search and find what I need.,COMPASS-3279,
As a Compass user I want a simple connect experience So that I better understand what information I need to fill in for my connection.,COMPASS-3278,
As a Compass user I want to see if existing documents match or do not match the validation rules I am adding So that I can understand whether I am adding the right rules and whether my existing data would need some cleanup,COMPASS-3274,
As a Compass user I want to control validationLevel and validationAction for my validation rules So that I can configure validation according to my needs,COMPASS-3273,
