"If you have an older version of node.js, you can just install a newer version over the top. Currently we direct the user to a troubleshooting page, but we can improve that process. If the version of node.js is out of date Pop up a dialog currently implemented letting the user know the version is out of date Offer to install a newer version for the user mac and windows . Follow the same steps as the normal installation If that fails, or on Linux, direct the user to the previous troubleshooting page.",TISTUD-2118,0,
"Currently, we require node.js to be version 0.8.0 or higher. This can be reduced to 0.6.0.",TISTUD-2111,0,
"This was found in the course of testing TISTUD 1527. Steps 1. Open dashboard 2. Right click on a link Open in new window Expected Link is opened in a browser based on the Eclipse Studio settings Actual Link is opened in a new external generic browser with no navigation controls This is currently only occurring on Windows, but an implementation change will affect osx linux as well",TISTUD-2086,0,
Add keyboard shortcut for opening dialog and generating Alloy resources so user isn t forced to go through UI to do this action and can do so by keeping hands on keyboard This includes key bindings for Widget Migration Controller Model,TISTUD-2074,0,
The icons for the RedHat Open Shift client server are not in keeping with rest of the icon templates. They need to be upgraded.,TISTUD-2071,0,
"Now that the template selection page is first, it s somewhat confusing if you don t want to use a template. Similar to what was done for Alloy, remove the checkbox for Create the project using one of the templates and instead replace it with an entry in the template list. Named Default Project Icon is the default icon Description is A default project without a template ",TISTUD-2070,0,
"When links are clicked in the browser, they are opened in an external browser. The links should be opened using the eclipse preference either internally or externally in either a specified or default browser . The following tasks are required Add a portal action that opens a url in the prefered browser openUrl Update the portal core.js to use the new action",TISTUD-2067,0,
"Alloy templates are similar to rails templates less preset set of files, more a set of commands to run to generate a scaffold. We need to present Alloy templates alongside traditional templates as part of the new project wizard. Need metadata format for Alloy templates and location on disk where they are stored or how we will grab them Alloy templates need to specify Alloy in the tags",TISTUD-2057,0,
This makes the latest version of Rubles available to all Studio users Merge the projects from the master to the stable branch Push the results back to Github,TISTUD-2042,0,
"As part of the build, before the push Find the version in the version.txt file See if that git tag has not already been created. If not, create a new tag of the form vX.X.X.XXXXX note the additional v at the front Push the tag to the following repos titanium studio And on Aptana studio3 studio3 php studio3 ruby Pydev libraries com swt webkit aptana .ruble ",TISTUD-2041,0,
"Once we have a XSD for tiapp.xml, we need to validate the UI elements in the TiApp editor against it. Doing so requires Investigate how to link the UI elements in the editor with the XSD errors. replacing whatever possible for the current validation scheme in the TiApp editor with the XSD validation. ",TISTUD-2038,0,
The search option in Dashboard needs to point to the new endpoint. An example query is ,TISTUD-2035,0,
Open Shift has new images and logos. Replace the branding in the project wizards with new images. Create new project dialog 16px icon Wizard banners during project creation 48px image Deploy wizards 16px images ,TISTUD-2023,0,
"The new Kitchen Sink version is designed to replace the 3 existing versions. Remove the Kitchen Sink iPad version, and if possible, also remove the Kitchen Sink Nook version. You will need to confirm with eric Merriman about whether or not we can leave the Kitchen Sink Nook version in.",TISTUD-2013,0,
"We ve bundled together the node.js code and the nettle code in a single plugin. Instead, we should create and make those depend on the existing nodejs plugins.",TISTUD-1970,0,
We need to replace the current Node.js branding with new branding. Project wizards Icons Project nature,TISTUD-1944,0,
We should support that for MobileWeb. ,TISTUD-1941,0,
We should support that for iOS. ,TISTUD-1939,0,
"Once a user has Node.js installed, we need to install the nettle package for ACS Node.js deployment We need to check to see if the package is installed If not, install it. npm install nettle g Suggestion is that we don t really know if we need to sun under sudo. We should try without, and then prompt the user if we fail in that case.",TISTUD-1905,0,
"Existing Node.js functionality is labelled as a Node.js project. We need to replace that name with a new name in wizards, project descriptions and preferences as appropriate ",TISTUD-1903,0,
"The V2 CLI requires log in before execution. The implementation should probably log in once per session with the credentials the user already provided for the studio. We ll need to make sure we log out in case the user clicked the log out. The Studio support a limited time of offline work, and we need to make sure that the platforms supports it as well. ",TISTUD-1897,0,
Add support for the packaging command via the CLI extension. V1. production Working directory V2. titanium build package ,TISTUD-1895,0,
Add support for the packaging command via the CLI extension. V1 package Environment package Environment distribute ios.version Roland Muschenetz universal Environment V2. titanium build package platform ios sample ,TISTUD-1894,0,
Add support for the packaging command via the CLI extension. V2 titanium build package project.dir create the V1 need to investigate what it is ,TISTUD-1893,0,
We should support that for all platforms. ,TISTUD-1891,0,
On V1 CLI support there are scripts that check for prerequisites. Android V1 Process list targets Working directory android.sdk iOS V1 package Environment There does not yet appear to be an analogue of these commands in V2 of the CLI. It s unclear how multiple commands that gather information like this would be structured.,TISTUD-1890,0,
Add clean support via the CLI commands extension. V1 Python clean Working directory V2 Node.js titanium clean ,TISTUD-1888,0,
"This one is only for V2 Node.js . The Python implementation in V1 does not support a building command. We should try call build again when we ve cleaned all our projects and build automatically is checked. The platform does not support incremental builds, so that call should probably only happen when a clean build is performed. titanium build platform sdk value build type log level dir project path ",TISTUD-1886,0,
"V2 Node.js CLI will support querying for command availability. This would be a check we can do against a SDK to see if a new command is supported by a particular version. For example, rather than doing a version check, we can query the SDK to see if the command clean is available. titanium available name Note We may want to consider how we define the versioning of the CLI. Will it have a different version, or will it map to an SDK version. V1 CLI does not support this feature. ",TISTUD-1884,0,
"Add an extension for the CLI command that updates the project with new deploy targets. V1 Python project.dir u As it looks like, V2 does not require the u command, and it s suppose to auto detect the targets in the tiapp.xml, and build the required resources.",TISTUD-1881,0,
Add extensions for the CLI commands that create a Titanium project mobile module . ,TISTUD-1877,0,
"The JSON style files specify style information for an app. We can provide CA for the property names, and also possibly common values similar to CSS CA. Need XML file containing CSS style information for the JSON configuration. See ",TISTUD-1872,0,
"For Alloy XML files, it is a file with XML tags, i.e. View id a Button Label id t Label View Need XML file containing tag information for Alloy tags. See ",TISTUD-1871,0,
