"As a developer, I'd like to move k8s SPI to it s own repo.",XD-3715,D,
"As a developer, I'd like to upgrade Spring XD s ambari plugin to 1.3 release.",XD-3714,D,
"As a developer, I'd want to document the limitations of HSQL DB when using composed jobs. ",XD-3708,D,
"As a developer, I'd like to upgrade Boot and Spring Cloud Build revisions, so I can leverage the latest updates.",XD-3705,D,
"As a developer, I want to be able to set a partitioning key for the Kafka bus even when there is a single downstream module, so that I can take advantage of the native Kafka partitioning and message ordering support.",XD-3702,D,
"As a developer, I'd like to upgrade to SI 4.2.2.GA release, so I can leverage the latest improvements.",XD-3696,D,
I don t recall why this commit was not applied to master but having the timestamp for each step in the history will be useful. See this github issue ,XD-3693,D,
"As a developer, I'd like to optimize YARN deployer, so I can deploy stream and the modules part of the definition rapidly.",XD-3692,D,
Make it more clear what drivers need to be copied where. See ,XD-3690,D,
Users want the ability to use Composed Jobs specifically parallel Jobs without having to update the configurations for the hsqldb and the Isolation Level for spring batch. These should be set by default. ,XD-3689,D,
"As a developer, I'd like to add state.",XD-3682,D,
"As a developer, I'd like to add state.",XD-3681,D,
"As a developer, I'd like to add support for . This is applicable for existing streams without any deployment context associated with it. ",XD-3680,D,
"As a developer, I'd like to add state.",XD-3679,D,
"As a developer, I'd like to add state.",XD-3678,D,
"As a developer, I'd like to create separate repo for Lattice SPI, so I don t have to bundle all SPI variants under one admin project.",XD-3675,D,
"As a developer, I'd like to submit a PR for existing work on Mesos SPI. ",XD-3672,D,
"As a user, I'd like to have direct shell commands to scale up down a given module instance, so I can avoid SPI specific CLI commands that needs run outside of data flow.",XD-3671,D,
"As a developer, I'd like to revisit the existing design and identify known limitations and or the gaps. ",XD-3670,D,
"As a user, I'd like Flo Graphs as screenshots while referring to the batch DSL, so it will be easy for me to relate to concepts. ",XD-3669,D,
"As a user, I'd like to see the version and SPI type in the about section, so I can confirm which build of I m currently using. ",XD-3668,D,
"As a user, I'd like to use the admin ui and flo with consistent look and feel. ",XD-3666,D,
"As a developer, I'd like to replace all . ",XD-3664,D,
"As a developer, I'd like to replace all references of Spring XD with Spring Cloud Data Flow. ",XD-3662,D,
"As a developer, I'd like to split artifact packaged with hadoop distro specific libraries, so I could avoid adding all variations of hadoop libraries under one project. ",XD-3659,D,
"As a developer, I'd like to add state.",XD-3656,D,
"As a user, I'd like to refer to job orchestration documentation, so I can use it as guideline for building batch workflows. ",XD-3654,D,
"As a user, I'd like to use SpEL expressions inline at the stream definition level, so I can operate on the payload consistently while using any OOTB, including the custom modules. ",XD-3649,D,
"As a developer, I'd like to enhance test coverage to capture DSL and XML generation variants. ",XD-3644,D,
"As a developer, I'd like to review and refactor , so I can improve performance characteristics. ",XD-3641,D,
See This is needed to support channel channel type constructs,XD-3639,D,
"As a developer, I'd like to upgrade to SI 4.2.1 release, so I can take advantage of the latest improvements.",XD-3637,D,
"As a Flo user, I'd like to have as global options at the DSL level, so I can override the defaults at will. ",XD-3636,D,
"As a developer, I'd like to resolve remaining gaps wrt CI pipelines for Data Flow and the family, so I can continuously evaluate functionalities on every commit.",XD-3635,D,
"As a user, I'd like to use SFTP source module, so I can create streaming pipeline with it. However, I cannot see SFTP as OOTB module listed on and as well as the module bits are not available in maven repo ",XD-3633,D,
"As a user, I'd like to use the latest release of sink, so I can create a streaming pipeline to land data in gemfire. ",XD-3631,D,
"As a developer, I'd like to get rid off from XD.",XD-3627,D,
"As a s c d developer, I'd like to break the build lifecycle to bundle SPI deployers individually, so I don t have to build with all the deployer variations as one whole thing.",XD-3624,D,
"As a developer, I'd like to port module to build streaming pipeline.",XD-3622,D,
"As a s c d user, I'd like to deploy data flow on YARN, so I can reuse the existing Hadoop cluster and leverage data flow features to build streaming or batch pipelines.",XD-3619,D,
"As a s c d user, I'd like to have and the like.",XD-3618,D,
"There is a need to customize the ModuleLauncher behavior itself, NOT pass options to modules that are launched, which is already supported for example to set the location of the maven repository. ",XD-3616,D,
"As a developer, I'd like to port module to build streaming pipeline.",XD-3608,D,
"As a developer, I'd like to port module to build streaming pipeline.",XD-3607,D,
"As a developer, I'd like to port module to build streaming pipeline.",XD-3606,D,
"As a developer, I'd like to port module to build streaming pipeline.",XD-3605,D,
